split,ensemble_name,members,blend_type,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,avg_2_fe_summary_d6_custom025__fe_rawage_d6_custom025,fe_summary_d6_custom025|fe_rawage_d6_custom025,score_average,best_f1,0.01,105,46,0.4380952380952381,0.04883227176220807,0.0897484756097561,4.881366899201294
test,avg_2_fe_summary_d6_custom025__fe_rawage_d6_custom025,fe_summary_d6_custom025|fe_rawage_d6_custom025,score_average,best_f1,0.05,525,146,0.2780952380952381,0.15498938428874734,0.0897484756097561,3.098606814275604
test,avg_2_fe_summary_d6_custom025__fe_rawage_d6_custom025,fe_summary_d6_custom025|fe_rawage_d6_custom025,score_average,best_f1,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_2_fe_summary_d6_custom025__fe_rawage_d6_custom025,fe_summary_d6_custom025|fe_rawage_d6_custom025,score_average,best_f1,0.2,2100,362,0.17238095238095238,0.3842887473460722,0.0897484756097561,1.9207117581639874
test,avg_4_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_custom025__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_custom025|old_indicator_d6_sqrt,score_average,best_f1,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,avg_4_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_custom025__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_custom025|old_indicator_d6_sqrt,score_average,best_f1,0.05,525,156,0.29714285714285715,0.16560509554140126,0.0897484756097561,3.3108401577191384
test,avg_4_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_custom025__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_custom025|old_indicator_d6_sqrt,score_average,best_f1,0.1,1050,247,0.23523809523809525,0.262208067940552,0.0897484756097561,2.621081791527651
test,avg_4_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_custom025__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_custom025|old_indicator_d6_sqrt,score_average,best_f1,0.2,2100,368,0.17523809523809525,0.39065817409766457,0.0897484756097561,1.9525467596805177
test,avg_3_fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,avg_3_fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.05,525,154,0.29333333333333333,0.16348195329087048,0.0897484756097561,3.268393489030432
test,avg_3_fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.1,1050,247,0.23523809523809525,0.262208067940552,0.0897484756097561,2.621081791527651
test,avg_3_fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,avg_5_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,avg_5_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.05,525,155,0.29523809523809524,0.16454352441613587,0.0897484756097561,3.289616823374785
test,avg_5_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.1,1050,246,0.2342857142857143,0.2611464968152866,0.0897484756097561,2.6104701243554747
test,avg_5_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.2,2100,364,0.17333333333333334,0.386411889596603,0.0897484756097561,1.9313234253361642
test,avg_2_fe_summary_d6_custom025__old_summary_d6_sqrt,fe_summary_d6_custom025|old_summary_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,avg_2_fe_summary_d6_custom025__old_summary_d6_sqrt,fe_summary_d6_custom025|old_summary_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.05,525,158,0.30095238095238097,0.16772823779193205,0.0897484756097561,3.3532868264078455
test,avg_2_fe_summary_d6_custom025__old_summary_d6_sqrt,fe_summary_d6_custom025|old_summary_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_2_fe_summary_d6_custom025__old_summary_d6_sqrt,fe_summary_d6_custom025|old_summary_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,avg_2_fe_rawage_d6_custom025__old_summary_d6_sqrt,fe_rawage_d6_custom025|old_summary_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.01,105,52,0.49523809523809526,0.055201698513800426,0.0897484756097561,5.518066929531898
test,avg_2_fe_rawage_d6_custom025__old_summary_d6_sqrt,fe_rawage_d6_custom025|old_summary_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.05,525,159,0.3028571428571429,0.16878980891719744,0.0897484756097561,3.374510160752199
test,avg_2_fe_rawage_d6_custom025__old_summary_d6_sqrt,fe_rawage_d6_custom025|old_summary_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.1,1050,244,0.23238095238095238,0.25902335456475584,0.0897484756097561,2.589246790011121
test,avg_2_fe_rawage_d6_custom025__old_summary_d6_sqrt,fe_rawage_d6_custom025|old_summary_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,avg_4_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,avg_4_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.05,525,156,0.29714285714285715,0.16560509554140126,0.0897484756097561,3.3108401577191384
test,avg_4_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.1,1050,249,0.23714285714285716,0.2643312101910828,0.0897484756097561,2.6423051258720047
test,avg_4_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.2,2100,363,0.17285714285714285,0.3853503184713376,0.0897484756097561,1.9260175917500757
test,avg_3_fe_indicator_d6_sqrt__old_summary_d6_sqrt__old_summary_d6_custom025,fe_indicator_d6_sqrt|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
