experiment_type,feature_config,model_name,trial_number,negative_ratio,row_order_seed,model_seed,iterations,learning_rate,depth,l2_leaf_reg,random_strength,border_count,bootstrap_type,bagging_temperature,subsample,class_weight_mode,pos_weight_multiplier,n_columns,train_subset_rows,fit_seconds,best_iteration,objective,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial012,12,8.034199869035625,202,107,1700,0.018045690212472553,7,6.460522214798239,0.42263956946026215,64,Bernoulli,,0.7686815319669387,none,,199,69444,78.42861783399712,1305,validation_pr_auc,test,ranking,0.01,149,80,0.5369127516778524,0.04892966360856269,0.1102643647154033,4.869322496562198
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial012,12,8.034199869035625,202,107,1700,0.018045690212472553,7,6.460522214798239,0.42263956946026215,64,Bernoulli,,0.7686815319669387,none,,199,69444,78.42861783399712,1305,validation_pr_auc,test,ranking,0.05,742,254,0.3423180592991914,0.15535168195718654,0.1102643647154033,3.1045212130204343
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial012,12,8.034199869035625,202,107,1700,0.018045690212472553,7,6.460522214798239,0.42263956946026215,64,Bernoulli,,0.7686815319669387,none,,199,69444,78.42861783399712,1305,validation_pr_auc,test,ranking,0.1,1483,421,0.28388401888064735,0.25749235474006116,0.1102643647154033,2.5745762886619197
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial012,12,8.034199869035625,202,107,1700,0.018045690212472553,7,6.460522214798239,0.42263956946026215,64,Bernoulli,,0.7686815319669387,none,,199,69444,78.42861783399712,1305,validation_pr_auc,test,ranking,0.2,2966,666,0.22454484153742413,0.4073394495412844,0.1102643647154033,2.0364225751173852
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial013,13,7.528300798144648,202,149,1200,0.022587161543109798,7,9.944818755658494,0.5249179241401721,64,Default,,,sqrt,,199,67374,50.48406316700857,803,validation_pr_auc,test,ranking,0.01,149,73,0.4899328859060403,0.044648318042813454,0.1102643647154033,4.443256778113006
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial013,13,7.528300798144648,202,149,1200,0.022587161543109798,7,9.944818755658494,0.5249179241401721,64,Default,,,sqrt,,199,67374,50.48406316700857,803,validation_pr_auc,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial013,13,7.528300798144648,202,149,1200,0.022587161543109798,7,9.944818755658494,0.5249179241401721,64,Default,,,sqrt,,199,67374,50.48406316700857,803,validation_pr_auc,test,ranking,0.1,1483,416,0.2805124747134187,0.25443425076452597,0.1102643647154033,2.5439993731196164
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial013,13,7.528300798144648,202,149,1200,0.022587161543109798,7,9.944818755658494,0.5249179241401721,64,Default,,,sqrt,,199,67374,50.48406316700857,803,validation_pr_auc,test,ranking,0.2,2966,672,0.2265677680377613,0.41100917431192663,0.1102643647154033,2.0547687244427673
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial014,14,7.89509179368078,37,149,1800,0.025544323168601082,7,11.99990853822969,0.5813921114414323,64,Default,,,none,,199,69444,62.16375616705045,1005,validation_pr_auc,test,ranking,0.01,149,81,0.5436241610738255,0.04954128440366973,0.1102643647154033,4.9301890277692255
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial014,14,7.89509179368078,37,149,1800,0.025544323168601082,7,11.99990853822969,0.5813921114414323,64,Default,,,none,,199,69444,62.16375616705045,1005,validation_pr_auc,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial014,14,7.89509179368078,37,149,1800,0.025544323168601082,7,11.99990853822969,0.5813921114414323,64,Default,,,none,,199,69444,62.16375616705045,1005,validation_pr_auc,test,ranking,0.1,1483,418,0.2818610923803102,0.25565749235474006,0.1102643647154033,2.556230139336538
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial014,14,7.89509179368078,37,149,1800,0.025544323168601082,7,11.99990853822969,0.5813921114414323,64,Default,,,none,,199,69444,62.16375616705045,1005,validation_pr_auc,test,ranking,0.2,2966,657,0.22151045178691842,0.4018348623853211,0.1102643647154033,2.008903351129313
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial015,15,7.279826417958722,37,37,1300,0.015385964196579607,6,10.88375389666917,1.36604423788663,254,Default,,,custom,0.2820163883583287,199,65411,54.18355570896529,1299,validation_pr_auc,test,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial015,15,7.279826417958722,37,37,1300,0.015385964196579607,6,10.88375389666917,1.36604423788663,254,Default,,,custom,0.2820163883583287,199,65411,54.18355570896529,1299,validation_pr_auc,test,ranking,0.05,742,257,0.3463611859838275,0.15718654434250764,0.1102643647154033,3.141188786402565
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial015,15,7.279826417958722,37,37,1300,0.015385964196579607,6,10.88375389666917,1.36604423788663,254,Default,,,custom,0.2820163883583287,199,65411,54.18355570896529,1299,validation_pr_auc,test,ranking,0.1,1483,413,0.2784895482130816,0.25259938837920487,0.1102643647154033,2.5256532237942344
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial015,15,7.279826417958722,37,37,1300,0.015385964196579607,6,10.88375389666917,1.36604423788663,254,Default,,,custom,0.2820163883583287,199,65411,54.18355570896529,1299,validation_pr_auc,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
