experiment_type,feature_config,model_name,seed,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bootstrap_type,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l230_seed707,707,6,0.02,30.0,1500,1.0,Default,199,66.79545308393426,1314,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l230_seed707,707,6,0.02,30.0,1500,1.0,Default,199,66.79545308393426,1314,test,ranking,0.1,1483,408,0.275118004045853,0.24954128440366974,0.1102643647154033,2.4950763082519316
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l230_seed707,707,6,0.02,30.0,1500,1.0,Default,199,66.79545308393426,1314,test,ranking,0.2,2966,660,0.222521915037087,0.4036697247706422,0.1102643647154033,2.0180764257920036
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed202,202,6,0.015,20.0,2200,1.0,Default,199,100.83840033307206,2186,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed202,202,6,0.015,20.0,2200,1.0,Default,199,100.83840033307206,2186,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed202,202,6,0.015,20.0,2200,1.0,Default,199,100.83840033307206,2186,test,ranking,0.1,1483,397,0.2677006068779501,0.24281345565749235,0.1102643647154033,2.4278070940588647
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed202,202,6,0.015,20.0,2200,1.0,Default,199,100.83840033307206,2186,test,ranking,0.2,2966,651,0.21948752528658125,0.3981651376146789,0.1102643647154033,1.9905572018039306
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed202,202,7,0.012,20.0,2200,1.0,Default,199,117.90862162492704,2137,test,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed202,202,7,0.012,20.0,2200,1.0,Default,199,117.90862162492704,2137,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed202,202,7,0.012,20.0,2200,1.0,Default,199,117.90862162492704,2137,test,ranking,0.1,1483,402,0.2710721510451787,0.24587155963302754,0.1102643647154033,2.4583840096011675
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed202,202,7,0.012,20.0,2200,1.0,Default,199,117.90862162492704,2137,test,ranking,0.2,2966,656,0.22117329737019556,0.40122324159021405,0.1102643647154033,2.0058456595750824
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed303,303,6,0.015,20.0,2200,1.0,Default,199,90.94658366695512,1837,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed303,303,6,0.015,20.0,2200,1.0,Default,199,90.94658366695512,1837,test,ranking,0.05,742,244,0.3288409703504043,0.1492354740061162,0.1102643647154033,2.9822959684133306
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed303,303,6,0.015,20.0,2200,1.0,Default,199,90.94658366695512,1837,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed303,303,6,0.015,20.0,2200,1.0,Default,199,90.94658366695512,1837,test,ranking,0.2,2966,654,0.22049898853674982,0.4,0.1102643647154033,1.9997302764666216
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed303,303,7,0.012,20.0,2200,1.0,Default,199,122.00851437507663,2197,test,ranking,0.01,149,80,0.5369127516778524,0.04892966360856269,0.1102643647154033,4.869322496562198
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed303,303,7,0.012,20.0,2200,1.0,Default,199,122.00851437507663,2197,test,ranking,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed303,303,7,0.012,20.0,2200,1.0,Default,199,122.00851437507663,2197,test,ranking,0.1,1483,406,0.2737693863789616,0.24831804281345565,0.1102643647154033,2.4828455420350104
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed303,303,7,0.012,20.0,2200,1.0,Default,199,122.00851437507663,2197,test,ranking,0.2,2966,652,0.2198246797033041,0.39877675840978594,0.1102643647154033,1.993614893358161
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed707,707,6,0.015,20.0,2200,1.0,Default,199,101.161826208001,1415,test,ranking,0.01,149,81,0.5436241610738255,0.04954128440366973,0.1102643647154033,4.9301890277692255
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed707,707,6,0.015,20.0,2200,1.0,Default,199,101.161826208001,1415,test,ranking,0.05,742,250,0.33692722371967654,0.1529051987767584,0.1102643647154033,3.0556311151775923
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed707,707,6,0.015,20.0,2200,1.0,Default,199,101.161826208001,1415,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr0015_l220_seed707,707,6,0.015,20.0,2200,1.0,Default,199,101.161826208001,1415,test,ranking,0.2,2966,660,0.222521915037087,0.4036697247706422,0.1102643647154033,2.0180764257920036
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed707,707,7,0.012,20.0,2200,1.0,Default,199,142.15184858301654,2190,test,ranking,0.01,149,82,0.5503355704697986,0.05015290519877676,0.1102643647154033,4.991055558976253
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d7_lr0012_l220_seed707,707,7,0.012,20.0,2200,1.0,Default,199,142.15184858301654,2190,test,ranking,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
